soil;Pallaviciniineae;Porellineae;Jungermanniineae;Lophocoleineae;Cephaloziineae;Fossombroniineae;Perssoniellineae;Jubulineae;Radulineae;Unknown;Unclassified;Environmental
DBZ1;0;0;0;0;0;0;0;0;0;29634;466;0
DBZ2;0;0;0;0;0;0;0;0;0;29539;561;0
DBZ3;0;0;0;0;0;0;0;0;0;29780;320;0
DBZ4;0;0;0;0;0;0;0;0;0;30043;57;0
DBZ5;0;0;0;0;0;0;0;0;0;30072;28;0
DBZ6;0;0;0;0;0;0;0;0;0;30070;30;0
LB1;0;0;0;0;0;0;0;0;0;20041;10059;0
LB2;0;0;0;0;0;0;0;0;0;19245;10855;0
LB3;0;0;0;0;0;0;0;0;0;23353;6747;0
LB4;0;0;0;0;0;0;0;0;0;29011;1089;0
LB5;0;0;0;0;0;0;0;0;0;29359;741;0
LB6;0;0;0;0;0;0;0;0;0;29612;488;0
LG1;0;0;0;0;0;0;0;0;0;29917;183;0
LG2;0;0;0;0;0;0;0;0;0;30069;31;0
LG3;0;0;0;0;0;0;0;0;0;29792;308;0
LG4;0;0;0;0;0;0;0;0;0;30056;44;0
LG5;0;0;0;0;0;0;0;0;0;29989;111;0
LG6;0;0;0;0;0;0;0;0;0;30089;11;0
TL1;0;0;0;0;0;0;0;0;0;28858;1242;0
TL2;0;0;0;0;0;0;0;0;0;29507;593;0
TL3;0;0;0;0;0;0;0;0;0;29477;623;0
TL4;0;0;0;0;0;0;0;0;0;30077;23;0
TL5;0;0;0;0;0;0;0;0;0;30092;8;0
TL6;0;0;0;0;0;0;0;0;0;30086;14;0
