soil;Acidobacteria;Actinobacteria;Aquificae;Armatimonadetes;Bacteroidetes;Caldiserica;Chlamydiae;Chlorobi;Chloroflexi;Chrysiogenetes;Crenarchaeota;Cyanobacteria;Deferribacteres;Deinococcus-Thermus;Dictyoglomi;Elusimicrobia;Euryarchaeota;Fibrobacteres;Firmicutes;Fusobacteria;Gemmatimonadetes;Ignavibacteria;Korarchaeota;Lentisphaerae;Nanoarchaeota;Nitrospinae;Nitrospirae;Planctomycetes;Proteobacteria;Spirochaetes;Synergistetes;TM6;Tenericutes;Thaumarchaeota;Thermodesulfobacteria;Thermotogae;Verrucomicrobia;Unknown;Unclassified;Environmental
DBZ1;1369;2592;0;27;2585;0;1;33;437;0;2990;7;0;2;5;32;11;11;1204;0;151;0;0;0;0;1;103;1292;4858;2;0;0;0;2942;0;0;41;43;61;0
DBZ2;1443;2016;0;41;2194;0;0;39;412;0;3112;7;0;3;2;44;7;9;1686;1;178;0;0;0;0;3;126;1409;5291;1;3;0;1;2644;0;0;40;53;35;0
DBZ3;1046;2030;0;40;2750;0;0;35;372;0;2592;53;3;6;4;18;6;6;1176;0;121;0;0;0;0;0;94;1273;6256;2;1;0;0;2737;1;0;41;64;73;0
DBZ4;805;900;0;27;3985;0;0;29;276;0;1912;201;2;2;3;22;4;15;744;0;115;0;0;0;0;5;69;1709;7757;1;0;0;0;1936;0;0;64;36;181;0
DBZ5;492;1259;0;12;3483;0;0;33;192;0;1639;225;3;3;2;12;1;18;556;0;53;0;0;0;0;2;51;1704;9162;2;1;0;0;1691;1;0;33;19;151;0
DBZ6;654;839;0;24;4373;0;1;40;218;0;2070;112;4;2;0;20;0;23;658;0;66;0;0;0;0;0;81;1711;7882;1;1;1;0;1820;0;0;21;20;158;0
LB1;1980;4830;0;9;2214;0;0;112;36;0;637;9;0;2;1;32;1;4;686;0;15;0;0;0;0;0;69;2465;7017;3;0;4;0;504;0;0;75;15;80;0
LB2;2448;6596;0;6;1373;0;0;63;30;0;154;10;0;0;0;24;0;6;634;0;7;0;0;0;0;0;77;2059;6999;0;0;4;0;230;0;0;37;7;36;0
LB3;1785;6615;0;13;1422;0;0;85;20;0;195;12;0;0;1;26;0;3;591;0;16;0;0;0;0;1;87;2392;6897;1;0;4;0;528;0;0;58;10;38;0
LB4;2102;6048;0;7;1440;0;0;68;21;0;186;297;0;0;0;21;0;6;598;0;5;0;0;0;0;0;65;2342;6952;0;0;6;0;481;0;0;40;11;104;0
LB5;2453;5617;0;5;1457;0;1;39;26;0;95;996;0;0;0;4;0;13;515;0;14;0;0;0;0;0;56;1950;7109;0;0;4;0;272;0;0;18;5;151;0
LB6;2607;6894;0;6;1431;0;0;37;19;0;30;806;0;0;0;10;0;18;543;0;7;0;0;0;0;0;68;1615;6399;0;0;4;0;101;0;0;26;8;171;0
LG1;1105;1957;0;33;2926;0;0;57;249;0;2581;5;1;0;0;19;0;36;754;0;106;0;0;0;0;1;94;802;5285;4;0;2;0;4638;0;0;46;47;52;0
LG2;974;1663;0;17;4035;0;0;55;282;0;1644;31;4;0;0;20;1;20;1067;0;53;0;0;0;0;1;75;946;7050;37;2;1;1;2210;1;0;73;50;487;0
LG3;1238;1493;0;32;3770;0;0;39;270;0;2287;15;2;0;0;30;1;28;878;0;105;0;0;1;0;3;138;1025;5288;6;4;3;0;3963;2;0;48;66;65;0
LG4;914;810;0;14;4227;0;0;59;196;0;2013;55;12;0;0;18;1;22;1100;0;54;0;0;1;0;0;90;922;5800;31;3;0;1;3804;0;0;53;53;547;0
LG5;1376;993;0;14;3319;0;0;42;173;0;3437;16;0;2;0;15;0;18;686;0;82;0;0;0;0;2;105;565;4631;5;1;1;0;5163;1;0;30;53;70;0
LG6;731;856;0;29;4372;0;0;50;297;0;1636;62;13;1;0;21;0;16;937;0;70;0;0;0;0;1;109;1053;7354;69;2;0;0;2150;0;0;63;48;860;0
TL1;1872;1520;0;13;2274;0;0;25;302;0;1662;8;0;0;0;34;1;6;886;1;116;0;0;0;0;0;124;1460;5372;0;5;1;0;4941;1;0;30;123;23;0
TL2;1855;1570;0;18;2136;0;0;21;239;0;1394;11;0;0;1;42;1;6;759;1;99;0;0;0;0;4;95;1545;5504;0;3;0;0;5308;3;0;29;129;27;0
TL3;1491;1583;0;23;2292;0;0;25;321;0;1338;13;0;1;2;37;1;7;868;0;108;0;0;0;0;1;107;1667;5570;0;6;1;0;5159;2;0;36;108;33;0
TL4;1031;1080;0;23;2312;0;0;16;278;0;1095;286;0;0;0;14;1;30;1101;0;77;0;0;2;0;1;58;1575;7053;1;1;1;0;4486;3;0;92;55;128;0
TL5;1020;1045;0;27;2828;0;0;27;219;0;877;275;0;3;0;24;0;72;1247;0;65;0;0;1;0;3;58;1498;7085;2;1;1;0;4046;0;0;86;63;227;0
TL6;1207;1036;0;18;2095;0;0;37;276;0;1174;107;0;0;0;17;1;47;1014;0;76;0;0;1;0;2;92;1579;6866;1;5;1;0;4968;2;0;39;66;73;0
