soil	Arthoniomycetes	Dothideomycetes	Eurotiomycetes	Geoglossomycetes	Laboulbeniomycetes	Lecanoromycetes	Leotiomycetes	Lichinomycetes	Orbiliomycetes	Pezizomycetes	Sordariomycetes	Saccharomycetes	Pneumocystidomycetes	Schizosaccharomycetes	Taphrinomycetes	Agaricomycetes	Dacrymycetes	Tremellomycetes	Entorrhizomycetes	Wallemiomycetes	Agaricostilbomycetes	Atractiellomycetes	Tritirachiomycetes	Exobasidiomycetes	Ustilaginomycetes	Blastocladiomycetes	Chytridiomycetes	Monoblepharidomycetes	Archaeosporomycetes	Glomeromycetes	Paraglomeromycetes	Neocallimastigomycetes	Unknown	Unclassified	Environmental
DBZ1	1	419	482	7	0	14	154	0	0	147	2011	66	0	17	0	1075	0	276	2	2	0	0	4	11	2	51	165	78	1	264	5	4	299	1195	748
DBZ2	0	425	318	3	0	7	116	0	2	112	1785	102	0	5	0	1318	0	326	4	0	2	1	1	6	0	77	88	89	7	172	2	2	319	1292	919
DBZ3	0	491	516	11	0	13	146	0	1	140	1930	76	0	11	3	1154	0	317	4	0	1	0	1	2	1	46	143	81	0	205	3	3	319	1062	820
DBZ4	1	557	249	2	0	19	113	0	0	61	1237	78	0	2	4	775	0	167	12	0	4	0	2	16	2	203	67	1290	7	301	1	1	423	1225	681
DBZ5	0	357	164	1	0	18	71	1	1	95	1399	92	0	1	9	689	0	120	14	0	1	0	0	39	0	296	73	1784	2	194	1	1	386	959	732
DBZ6	2	248	208	2	0	7	53	0	0	71	889	81	0	4	4	714	0	168	22	0	2	0	0	17	0	102	117	2196	7	70	1	0	249	1492	774
LB1	0	265	730	1	0	23	1946	3	0	61	168	107	0	0	0	1011	0	513	1	0	1	0	0	3	0	1	5	49	1	74	0	1	178	1342	1016
LB2	0	145	597	1	0	14	1844	1	0	53	160	128	0	1	0	861	0	505	0	0	4	0	0	3	2	6	12	62	0	89	2	0	323	1357	1330
LB3	0	151	783	3	0	17	1892	2	0	53	170	122	0	1	0	1141	0	512	1	0	3	0	0	2	0	4	8	43	0	86	1	0	217	1195	1093
LB4	1	197	691	0	0	23	1940	5	1	62	158	137	0	0	0	983	1	489	0	0	3	0	0	0	0	11	5	67	1	181	0	0	302	1211	1031
LB5	2	145	561	2	0	19	1733	2	1	64	160	164	0	0	0	683	0	621	0	0	3	0	0	1	2	12	50	307	1	307	0	0	491	1252	917
LB6	0	199	684	1	0	35	1812	1	0	81	195	140	0	0	0	815	1	532	4	0	1	0	0	0	1	7	22	321	4	323	1	0	388	1173	759
LG1	0	609	352	0	0	10	242	0	3	147	876	93	0	0	4	986	6	271	2	0	3	1	0	4	2	21	90	47	20	123	2	7	536	1610	1433
LG2	0	591	149	0	0	9	293	0	3	134	670	72	0	3	2	1061	1	197	4	0	1	1	0	2	0	467	105	176	19	106	1	10	535	1590	1298
LG3	0	589	252	0	0	14	211	0	8	138	827	60	0	1	2	1268	4	262	3	0	1	0	0	5	0	26	152	65	17	139	4	35	428	1459	1530
LG4	1	477	194	1	0	5	122	0	1	167	723	49	0	1	3	1046	3	239	1	1	1	1	0	12	2	61	142	71	11	76	6	27	936	1749	1371
LG5	1	518	178	0	0	4	158	0	15	148	705	57	0	14	1	1099	3	218	1	0	5	1	0	3	1	30	97	28	14	94	1	4	467	2641	994
LG6	0	393	154	0	0	5	129	1	0	111	597	71	0	2	7	1372	3	180	4	0	1	1	0	3	1	447	144	238	19	134	2	10	565	1523	1383
TL1	3	440	121	2	0	5	140	1	1	105	680	60	0	1	2	945	0	185	3	0	1	4	0	4	2	9	139	25	6	217	13	1	1029	1462	1894
TL2	3	338	103	0	0	6	114	0	0	176	649	83	0	0	0	872	3	183	4	0	2	2	0	3	0	10	226	59	9	303	7	4	794	1641	1906
TL3	0	295	97	0	0	0	123	2	1	196	565	49	0	0	2	985	0	180	2	1	1	0	0	4	0	7	206	29	6	310	1	2	1104	1509	1823
TL4	0	831	29	2	0	6	123	0	25	306	353	18	0	0	0	761	2	99	3	0	2	0	0	0	1	259	82	74	3	389	2	3	988	1833	1306
TL5	0	722	29	1	0	9	110	1	5	465	328	45	0	1	1	491	1	102	4	0	8	0	1	3	1	220	44	61	6	358	4	1	997	2285	1196
TL6	0	484	52	1	0	12	127	1	26	181	315	40	0	1	1	739	0	136	0	0	3	0	0	1	2	154	77	59	5	429	4	4	1729	1751	1166
