soil;Fissurinoideae;Gomphilloideae;Graphidoideae;Unknown;Unclassified;Environmental
DBZ1;0;0;0;341;10075;784
DBZ2;0;0;0;394;9813;993
DBZ3;0;0;0;389;9937;874
DBZ4;0;0;0;537;9862;801
DBZ5;0;0;0;480;9762;958
DBZ6;0;0;0;298;9930;972
LB1;0;0;0;257;9638;1305
LB2;0;0;0;482;8878;1840
LB3;0;0;0;306;9541;1353
LB4;0;0;0;396;9511;1293
LB5;0;0;0;660;9437;1103
LB6;0;0;0;531;9734;935
LG1;0;0;0;746;8474;1980
LG2;0;0;0;739;8653;1808
LG3;0;0;0;541;8656;2003
LG4;0;0;0;1232;8136;1832
LG5;0;0;0;633;9229;1338
TL1;0;0;0;1499;7100;2601
TL2;0;0;0;1199;7495;2506
TL3;0;0;0;1608;7142;2450
TL4;0;0;0;1312;8004;1884
TL5;0;0;0;1300;8135;1765
TL6;0;0;0;2258;7151;1791
