phyla	article	group	taxonomic_level	cos
Mycobacterium	whelan2018	bacteria	genus	uptake
Dietzia	whelan2018	bacteria	genus	uptake
Streptomyces	whelan2018	bacteria	genus	uptake
Fusarium	whelan2018	fungi	genus	uptake
Trichoderma	whelan2018	fungi	genus	uptake
Sordariomycetes	whelan2018	fungi	class	uptake
Actinomycetales	whelan2018	bacteria	order	uptake
Acidianus	whelan2018	bacteria	genus	uptake
Actinomycetales	whelan2018	bacteria	order	emission
Pectobacterium	whelan2018	bacteria	genus	emission
Mucoromycotina	whelan2018	fungi	subphylum	emission
Cystobasidiomycetes	berhendt2019	fungi	class	uptake
Xanthobacteraceae	meredith2018	bacteria	family	uptake
Rhodospirillales	meredith2018	bacteria	order	uptake
Syntrophobacteraceae	meredith2018	bacteria	family	emission
Cyanobacteria	meredith2018	algae	phylum	emission
Hydrogenedentes	meredith2018	bacteria	phylum	emission
Desulfuromonadales	meredith2018	bacteria	order	emission
Methanobacterium	meredith2018	bacteria	genus	emission
Cordycipitaceae	meredith2018	fungi	family	uptake
Absidia	meredith2018	fungi	genus	uptake
Helotiales	meredith2018	fungi	order	uptake
Microbotryomycetes	meredith2018	fungi	class	uptake
Tomentella	meredith2018	fungi	genus	uptake
Venturiaceae	meredith2018	fungi	family	uptake
Mycena	meredith2018	fungi	genus	uptake
Cryptosporiopsis	meredith2018	fungi	genus	uptake
Paecilomyces	meredith2018	fungi	genus	uptake
Coniochaetaceae	meredith2018	fungi	family	uptake
Sagenomella	meredith2018	fungi	genus	uptake
Herpotrichiellaceae	meredith2018	fungi	family	uptake
Pochonia	meredith2018	fungi	genus	uptake
Leotiomycetes	meredith2018	fungi	class	uptake
Clavicipitaceae	meredith2018	fungi	family	uptake
Trichocomaceae	meredith2018	fungi	family	uptake
Leohumicola	meredith2018	fungi	genus	uptake
Ascomycota	meredith2018	fungi	phylum	uptake
Chlorophyta	meredith2018	algae	phylum	emission
Variibacter	meredith2018	bacteria	genus	emission
Solibacter	meredith2018	bacteria	genus	emission
Xiphinematobacter	meredith2018	bacteria	genus	emission
Ktedonobacteria	meredith2018	bacteria	class	emission
Phycisphaerae	meredith2018	bacteria	class	emission
Clostridium	meredith2018	bacteria	genus	emission
Ruminococcaceae	meredith2018	bacteria	family	emission
Chromatiales	meredith2018	bacteria	order	emission
Flavisolibacter	meredith2018	bacteria	genus	emission
Erythrobacteraceae	meredith2018	bacteria	family	emission
Angiococcus	meredith2018	bacteria	genus	emission
Roseomonas	meredith2018	bacteria	genus	emission
Arthrobacter	meredith2018	bacteria	genus	emission
Thermomicrobua	meredith2018	bacteria	class	emission
Cellulosimicrobium	meredith2018	bacteria	genus	emission
Gemmatimonadetes	meredith2018	bacteria	class	emission
Clostridiales	meredith2018	bacteria	order	emission
Sphingomonadales	meredith2018	bacteria	order	emission
Dermateaceae	meredith2018	fungi	family	uptake
Leotiaceae	meredith2018	fungi	family	uptake
Oidiodendron	meredith2018	fungi	genus	uptake
Myxotrichaceae	meredith2018	fungi	family	uptake
Umbelopsis	meredith2018	fungi	genus	uptake
Armillaria	meredith2018	fungi	genus	uptake
Vibrisseaceae	meredith2018	fungi	family	uptake
Mytilinidiales	meredith2018	fungi	order	uptake
Cortinarius	meredith2018	fungi	genus	uptake
Meliniomyces	meredith2018	fungi	genus	uptake
Capronia	meredith2018	fungi	genus	uptake
Herpotrichiellaceae	meredith2018	fungi	family	uptake
Cercozoa	meredith2018	fungi	phylum	uptake
Gymnostellatospora	meredith2018	fungi	genus	uptake
Inocybe	meredith2018	fungi	genus	uptake
Rutstroemiaceae	meredith2018	fungi	family	uptake
Pholiota	meredith2018	fungi	genus	uptake
Nemania	meredith2018	fungi	genus	uptake
Chaeotomium	meredith2018	fungi	genus	emission
Acremonium	meredith2018	fungi	genus	emission
Rhizophlyctidaceae	meredith2018	fungi	family	emission
Bryobacter	kitz2019	bacteria	genus	N.A.
Microvirga	kitz2019	bacteria	genus	N.A.
Cellulomonas	kitz2019	bacteria	genus	N.A.
Mortierella	kitz2019	fungi	genus	emission
Hygrocybe	kitz2019	fungi	genus	N.A.
Geodermatophilus	ogawa2016	bacteria	genus	emission
Streptosporangium	ogawa2016	bacteria	genus	uptake
Gordonia	ogawa2016	bacteria	genus	uptake
Rhodococcus	ogawa2016	bacteria	genus	uptake
Williamsia	ogawa2016	bacteria	genus	uptake
Thiobacillus	ogawa2016	bacteria	genus	uptake
Amycolatopsis	ogawa2016	bacteria	genus	emission
Bryophyta	paper	algae	phylum	uptake
